code,name,credit,faculty
OR3013,Linear Programming and Integer Programming,3,FST
OR3023,Simulation,3,FST
OR4023,Optimization,3,FST
POLS1003,Foundations of Political Science,3,FHSS
POLS2073,Cooperation and Progress in the Guangdong-Hong Kong-Macau Greater Bay Area,3,FHSS
POLS3093,International Organisations,3,FHSS
POLS3253,Global Routes of Trade and Investment,3,FHSS
POLS3263,Global Environmental Governance,3,FHSS
PRA2003,Principles of Public Relations,3,FHSS
PRA2013,Principles of Advertising,3,FHSS
PRA3003,Consumer Behaviour,3,FHSS
PRA3073,Branding in Advertising,3,FHSS
PRA3083,Crisis Management and Risk Communication,3,FHSS
PSY2003,Biological Psychology,3,FST
PSY2013,Research Methods in Psychology,3,FST
PSY2023,Social Psychology,3,FST
PSY2033,Developmental Psychology,3,FST
PSY2043,Introduction to Psychology,3,FST
PSY3023,Abnormal Psychology,3,FST
PSY3043,Consumer Psychology,3,FST
PSY3053,Educational Psychology,3,FST
PSY3183,Psychological Assessment and Testing,3,FST
PSY3193,Advanced Data Analytics for Psychology,3,FST
PSY40338003,Special Topic in Psychology: Human Factors and Ergonomics,3,FST
PSY4063,Psychology of the Chinese People,3,FST
PSY4093,Ecological Psychology,3,FST
PSY4123,Counselling Psychology,3,FST
SCIT1033,Introduction to Aviation,3,FST
SOC1083,Gender and Sexuality,3,FHSS
STAT1033,Foundations of Probability Theory,3,FST
STAT2013,Regression Analysis,3,FST
STAT3003,Survey Sampling,3,FST
STAT3033,Bayesian Statistics,3,FST
STAT3043,Data Analysis Using R,3,FST
STAT3083,Applied Statistics,3,FST
STAT4003,Experimental Design,3,FST
STAT4043,Categorical Data Analysis,3,FST
STAT4063,Time Series Analysis,3,FST
STAT4103,Introduction to Deep Learning with Python,3,FST
TEM3033,Resort Management,3,SCC
TEM4013,Sustainable Tourism,3,SCC
TESL3003,Bilingualism and Bilingual Education,3,FHSS
THEM2033,Food and Beverage Management,3,SCC
THEM2043,Fundamentals of Tourism and Hospitality Studies,3,SCC
THEM3003,Intercultural Management in Tourism and Hospitality,3,SCC
THEM3033,Human Resources Management in Tourism and Hospitality,3,SCC
THEM3043,Digital Marketing in Tourism and Hospitality,3,SCC
TRA10038002,Introduction to Translation,3,FHSS
TRA2023,Contrastive Language Studies: English and Chinese,3,FHSS
TRA2093,Translation across Media,3,FHSS
TRA3003,Introductory Interpreting,3,FHSS
TRA30438001,Translation in Workplace,3,FHSS
TRA3103,Translation of Legal and Government Document,3,FHSS
TRA3113,Commercial Translation,3,FHSS
TRA3153,Translating China in the Digital Age,3,FHSS
TRA4063,Simultaneous Interpreting,3,FHSS
UCLC1033,English for Academic Purposes III,3,SGE
